INFO - [20170215144522]Searching Facebook post using 3rd party app - this will take around 5 mins
INFO - [20170215144522]Adding JSON results to arraylist
INFO - [20170215144809] Searching Facebook post 1825825264309071
INFO - [20170215144809] Searching Facebook post 270688676697192
INFO - [20170215144809] Searching Facebook post 168990760265929
INFO - [20170215144809] Searching Facebook post 635096716679463
INFO - [20170215144809] Searching Facebook post 1017172148426635
INFO - [20170215144809] Searching Facebook post 763056680513941
INFO - [20170215144809] Searching Facebook post 971366079629719
INFO - [20170215144809] Searching Facebook post 814773508660621
INFO - [20170215144809] Searching Facebook post 1767593766900514
INFO - [20170215144809] Searching Facebook post 236111640183181
INFO - [20170215144809] Searching Facebook post 600925243441854
INFO - [20170215144809] Searching Facebook post 1094621630682872
INFO - [20170215144809] Searching Facebook post 1177566359024070
INFO - [20170215144809] Searching Facebook post 1217339428361432
INFO - [20170215144809] Searching Facebook post 1851568755131046
INFO - [20170215144809] Searching Facebook post 1015828771894306
INFO - [20170215144809] Searching Facebook post 878602868949368
INFO - [20170215144809] Searching Facebook post 1433380903379888
INFO - [20170215144809] Searching Facebook post 1238239269587705
INFO - [20170215144809] Searching Facebook post 977558022388598
INFO - [20170215144809] Searching Facebook post 1307064279332278
INFO - [20170215144809] Searching Facebook post 145301045983071
INFO - [20170215144809] Searching Facebook post 1086793594783055
INFO - [20170215144809] Searching Facebook post 1209073499187960
INFO - [20170215144809] Searching Facebook post 363468227368066
INFO - [20170215144809] Searching Facebook post 460476071007854
INFO - [20170215144809] Searching Facebook post 1319126481506733
INFO - [20170215144809] Searching Facebook post 1728265737485214
INFO - [20170215144809] Searching Facebook post 1336857676370716
INFO - [20170215144809] Searching Facebook post 386393611720689
INFO - [20170215144809] Searching Facebook post 891797514256029
INFO - [20170215144809] Searching Facebook post 1857293584485294
INFO - [20170215144809] Searching Facebook post 1558155504199127
INFO - [20170215144809] Searching Facebook post 1177805222340516
INFO - [20170215144809] Searching Facebook post 1780690222257780
INFO - [20170215144809] Searching Facebook post 1084716591657422
INFO - [20170215144809] Searching Facebook post 855835524556957
INFO - [20170215144809] Searching Facebook post 818701068268171
INFO - [20170215144809] Searching Facebook post 918524531616137
INFO - [20170215144809] Searching Facebook post 1250014685094650
INFO - [20170215144809] Searching Facebook post 1316502931769088
INFO - [20170215144809] Searching Facebook post 890543537714760
INFO - [20170215144809] Searching Facebook post 1303614976371782
INFO - [20170215144809] Searching Facebook post 1159056860879444
INFO - [20170215144809] Searching Facebook post 1590839990933831
INFO - [20170215144809] Searching Facebook post 458049227917205
INFO - [20170215144809] Searching Facebook post 251651745259008
INFO - [20170215144809] Searching Facebook post 1837405526474723
INFO - [20170215144809] Searching Facebook post 1377478248958574
INFO - [20170215144809] Searching Facebook post 1320199594693222
